[root@ztg 桌面]# sysctl net.mptcp.mptcp_enabled
net.mptcp.mptcp_enabled = 0
[root@ztg 桌面]# sysctl net.ipv4.tcp_congestion_control
net.ipv4.tcp_congestion_control = cubic
[root@ztg 桌面]# iperf3 -c 112.26.4.9 -f K -b 32K -n 2048KB
Connecting to host 112.26.4.9, port 5201
[  5] local 112.26.4.1 port 44430 connected to 112.26.4.9 port 5201
[ ID] Interval           Transfer     Bitrate         Retr  Cwnd
[  5]   0.00-1.00   sec  99.0 KBytes  99.0 KBytes/sec    0   15.6 KBytes       
[  5]   1.00-2.00   sec  0.00 Bytes  0.00 KBytes/sec    0   26.9 KBytes       
[  5]   2.00-3.00   sec  0.00 Bytes  0.00 KBytes/sec    0   33.9 KBytes       
[  5]   3.00-4.00   sec  0.00 Bytes  0.00 KBytes/sec    0   33.9 KBytes       
[  5]   4.00-5.00   sec  0.00 Bytes  0.00 KBytes/sec    0   36.8 KBytes       
[  5]   5.00-6.00   sec  0.00 Bytes  0.00 KBytes/sec    0   45.2 KBytes       
[  5]   6.00-7.00   sec  0.00 Bytes  0.00 KBytes/sec    0   49.5 KBytes       
[  5]   7.00-8.00   sec  0.00 Bytes  0.00 KBytes/sec    0   49.5 KBytes       
[  5]   8.00-9.00   sec  0.00 Bytes  0.00 KBytes/sec    0   49.5 KBytes       
[  5]   9.00-10.00  sec  0.00 Bytes  0.00 KBytes/sec    0   49.5 KBytes       
[  5]  10.00-11.00  sec  0.00 Bytes  0.00 KBytes/sec    0   49.5 KBytes       
[  5]  11.00-12.00  sec  0.00 Bytes  0.00 KBytes/sec    0   49.5 KBytes       
[  5]  12.00-13.00  sec  0.00 Bytes  0.00 KBytes/sec    0   49.5 KBytes       
[  5]  13.00-14.00  sec  0.00 Bytes  0.00 KBytes/sec    0   49.5 KBytes       
[  5]  14.00-15.00  sec  0.00 Bytes  0.00 KBytes/sec    0   49.5 KBytes       
[  5]  15.00-16.00  sec  0.00 Bytes  0.00 KBytes/sec    0   49.5 KBytes       
[  5]  16.00-17.00  sec  0.00 Bytes  0.00 KBytes/sec    0   49.5 KBytes       
[  5]  17.00-18.00  sec  0.00 Bytes  0.00 KBytes/sec    0   49.5 KBytes       
[  5]  18.00-19.00  sec  0.00 Bytes  0.00 KBytes/sec    0   49.5 KBytes       
[  5]  19.00-20.00  sec  0.00 Bytes  0.00 KBytes/sec    0   49.5 KBytes       
[  5]  20.00-21.00  sec  0.00 Bytes  0.00 KBytes/sec    0   49.5 KBytes       
